Latin name, Botanical family and Growth habit	Vernacular name(s)	Part(s) used, Use(s) and Reference(s)
		Sap: Blood medicine, used to soothe irritated skin, applied to cuts and mouth infections [Dene: 13; 99]. Applied in chest to prevent colds and tuberculosis, tea taken to soothe sore throats [Dene: 99]. Applied in cuts and sore breasts [Cree: 81]. 
		Bark and branches: Mixed with red willow bark to treat cold [Dene: 13].
		Wood: Powdered and used as baby powder [Dene: 13]. Inside strips put on burns, or boiled without bark and taken for sore throats [Cree: 79].
		Charcoal: Used as a baby powder [Dene: 13].
		Cones: Young cones boiled to make a mouth wash for mouth infection, toothache or sore throat or to clear phlegm from the throat [Dene, Metis: 13; Chipewyan: 92]. Chewed to relieve toothache or sore mouth. Mixed with other plants in a decoction to treat venereal disease [Cree: 95]. Made into a jelly used to treat headache and stomachache [Algonquin: 75]. Decoction used to gargle a sore throat or mouth infection [Cree: 95; Dene: 101]. Used to treat diabetes [Cree: 77; 83], diarrhoea [Ojibway: 89; Cree: 95] and stomach ache [Montagnais: 71]. Applied to stop bleeding. Boiled and tea used to wash broken legs, to easeskin rash [Dene: 101]. 
		Leaves and bark: Decoction used for headache [Ojibwa: 66].
		Leaves: Used as a reviver [Ojibwa: 87] or to treat diabetes [Cree: 82]. Crushed and used to treat pain. Crushed, placed on cloth and put in throat to treat pain and burns [Cree: 80].
		Bark and roots: Tea used for stomach pain, fainting and fits [Ojibwa: 86]. 
		Inner bark: Chewed for laryngitis [Mi'kmaq: 62]. Chewed to relieve colds or maintain good health, placed on a wound [Dene: 99]. Used to treat diabetes [Cree: 82].
		Bark and gum: Used against cough [Montagnais: 71].
		Cones and branches: Tea used for cough and colds, sore throat and chest pain [Dene: 99].
		Roots: Pounded and boiled to make a liquid medicine [Dene: 99].
		Young tips, cones and branches: Boiled and taken to treat itchy throat [Dene: 99]. Steam used to treat congested head and chest [Dene: 100].
		Bark: Used as a splint and to heal broken limbs [Dene: 100]. Boiled and taken in cough Heated and pressed on blisters [Cree: 80].
Picea rubens Sarg.	red spruce (Eng.); épinette rouge (Fr.)	Bark: Boiled with roots of sour grass and the liquid drunk for lung and throat trouble [Algonquians: 63]. 
Pinaceae, Tree		
Picea sitchensis (Bong.) Carrière	Sitka spruce, tideland spruce (Eng.); épinette de Sitka (Fr.)	Cones: Boiled and decoction taken internally for pain in the chest [Sikani: 97]. 
Pinaceae, Tree		Inside bark: Scraped and chewed for cough [Sikani: 97]. 
		Needles: Chewed and saliva applied to external sores [Sikani: 97].
		Gum: Applied with a stick to the white spots on the eye [Sikani: 97]. 
Picea sp.	spruce (Eng.); épinette (Fr.); cigubi (Atikamekw) sĕ'ssēgân'dŏk (Ojibwa)	Gum: Used as a poultice on wounds [Atikamekw: 73], boils and abscesses [Algonquians: 63].
Pinaceae, Tree		Roots: Used for sewing [Ojibwa: 84; Atikamekw: 73]. 
Pinus banksiana Lamb.	jack pine (Eng.); pin gris (Fr.); ōskāhtak, ivashick (Cree); Ookiik, gîga'ndag (Ojibway); ushtshishk (Montagnais); goo (Dene)	Inner bark: Used to make a poultice to heal a deep cut [Cree: 95] or to treat diabetes [Cree: 82]. 
Pinaceae, Tree		Cones and inner bark: Used in diabetes [Cree: 77, 83]. 
		Bark: Mixed with bark and root of Salix discolor, Pinus strobus, Quercus rubra and Arctostaphylos uva-ursi in a tea given in fainting and fits [Ojibwa: 86]. Rubbed on a sore body part or boiled and tea drunk to cure shortness of breath [Dene: 101].
		Sap: Used for burns [Ojibway: 89] and cuts [Dene: 17]. Chewed to treat cold [Cree: 93].
		Leaves: Used as a reviver [Ojibwa: 87]. 
		Twigs: Crushed and mixed with lard and applied for allergies and itching [Montagnais: 71]. Tea mixed with sugar and put into sore eyes. Tea drunk to ease pain, cold, and as a general remedy. Tea also applied to a sore body part [Dene: 101]. 
Pinus contorta Douglas ex Louden	lodgepole pine (Eng.); pin tordu (Fr.); ōskāhtak, oskatik (Cree)	Inner bark: Softened in water and used as a poultice to heal a deep wound [Metis: 13]. 
Pinaceae, Tree		Gum: Chewed and saliva swallowed for cough and cold [Sikani: 97].
		Roots: Boiled and liquid used to clean wounds [Dene: 98]. 
Pinus resinosa Aiton	red pine (Eng.); pin rouge (Fr.); pōkgwĕ'nagēmŏk, abakwanûg i'mûg (Ojibwa)	Leaves: Crushed and applied to relieve headache. Vapour or fumes from heating inhaled to cure headache [Ojibwa: 84]. Crushed with Pinus strobus leaves, boiled and applied to relieve headache [Ojibwa: 66].
Pinaceae, Tree		
Pinus sp.	pine (Eng.); pin (Fr.); cigawk (Atikamekw)	Inner part of the tree boiled and pulp applied to cuts [Cree: 80].
Pinaceae, Tree		Inner bark: Steeped in boiling water and applied to the chest for cold [Atikamekw: 73].
Pinus strobus L.	white pine (Eng.); pin blanc (Fr.); zhingwâk' (Ojibwa); kah-be-sah-dah-ge-set, jîngwak kweseskwe'tûk (Chippewa); kohah'sis (Abenaki).	Tea used in kidney or urinary trouble [Mi'kmaq: 60].
Pinaceae, Tree		Bark, needles and twigs: Tea used in cold and cough [Mi'kmaq: 43, 60]. 
		Bark: Boiled, mixed with grease and applied to wounds. Tea used in kidney troubles [Mi'kmaq: 43]. Steeped and used to treat cough [Abenaki: 67] and cold [Mi'kmaq: 62]. Mixed with bark and root of Salix discolor, Pinus strobus, Quercus rubra and Arctostaphylos uva-ursi in a tea given in fainting and fits [Ojibwa: 86].
		Inner bark: Boiled and given for sores, swellings [Algonquians: 63].
		Pitch: Mixed with deer tallow and used as a poultice for felons and similar inflammations [Chippewa: 85]. 
		Needles: Crushed and applied to relieve headache. Boiled, and the vapour inhaled to cure backache. Fume produced by heating inhaled to cure headache [Ojibwa: 84]. Crushed with Pinus resinosa needles, boiled and applied to relieve headache [Ojibwa: 66]. Powdered and used as a reviver or inhalant [Ojibwa: 87].
		Gum: Boiled and drunk for sore throat, cold and consumption [Algonquians: 63]. 
		Wood: Mixed with inner bark of Prunus serotina and Prunus americana in a decoction used to treat cuts and wounds [Ojibwa: 47]. 
*Plantago major L.	common plantain, whiteman's foot (Eng.); plantain majeur, grand plantain queue de rat (Fr.); muchikwanas, paswēpak (Cree); ceca'gûski'bûge sink , gine'biwûck (Ojibwa); magaskisitan (Atikamekw); ondiba'go (Abenaki)	Stem: Base boiled and drunk to relieve fainting spells [Metis: 13]. 
Plantaginaceae, Herb		Leaves: Chewed into a paste applied to burns and scalds. Juice drunk for toothache and earache or for internal hemorrhage or injury [Cree: 74]. Soaked in warm water and applied to bruises, sprains or sores as a poultice, also used to sooth burns, scalds, bee stings, and snake bites [Algonquin: 69; Ojibwa: 87]. Applied fresh on wounds, bruises, burns and haematoma [Atikamekw: 73]. Infusion drunk to treat heart trouble [Cree: 13, 96], cramps, stomachache, stomach flu, or constipation [Metis: 13]. Used for rheumatism, swellings and as an analgesic [Abenaki: 67]. Used as a poultice to remove poison and heal wounds [Mi'kmaq: 62]. Mixed with grease and applied to inflamed skin. Mixed with roots of Asarum canadense to treat inflamed skin. Decoction applied to rheumatic joints [Ojibwa: 47]. Poultice used as a painkiller for cuts and bruises [Dene: 100]. Fresh leaves heated slightly and put on the wound to draw out infection [Cree: 93].
		Leaves and root: Chopped finely and applied to bites of poisonous reptiles, or applied as a poultice on inflamed skin [Ojibwa: 47]. 
		Above-ground parts: Tea used to soothe burns [Dene: 100]. 
Platanthera dilatata (Pursh) Lindl. ex Beck var. dilatata	tall white bog orchid, scentbottle (Eng.); platanthère dilatée (Fr.)	Roots: Juice drunk in gravel [Algonquians: 63].
Orchidaceae, Herb		
Platanthera dilatata (Pursh) Lindl. ex Beck var. leucostachys (Lindl.) Luer	Sierra bog orchid (Eng.); platanthère à tige pâle (Fr.)	Used as a cough medicine. Decoction used as a body wash. W/hen heated used as a bath for rheumatism [Ojibwa: 47].
Syn.: Habenaria leucostachys (Lindl.) S. Watson		
Orchidaceae, Herb		
Platanthera orbiculata (Pursh) Lindl.	roundleaved orchis (Eng.); habénaire à feuilles orbiculaires (Fr.)	Leaves: Applied to the hands or feet to cure blisters [Algonquians: 63].
Syn.: Habenaria orbiculata (Pursh) Torr.		
Orchidaceae, Herb		
Poa palustris L.	swamp meadow-grass, fowl bluegrass (Eng.); pâturin palustre (Fr.)	Seed heads: Boiled to make a rinse used to make the hair grow thicker and longer [Dene: 13]. 
Poaceae, Herb		
Podophyllum peltatum L.	mayapple (Eng.); podophylle pelté, pomme de mai (Fr.)	Roots: Used as cathartic [44]. Powdered and used for liver troubles [Cree: 74]. 
Berberidaceae, Herb		
Polygala polygama Walter	milkwort, pink polygala (Eng.); polygala polygame (Fr.)	Boiled and used as a cough medicine [Algonquians: 63].
Polygalaceae, Herb		
Polygala senega L.	seneca snakeroot (Eng.); sénéca (Fr.); menisehkes, mesisikas, ominisihkes, sīkōtākanīsīkan, wenisikas, wīnsīkas, wīncīkēs (Cree); winis'sikēns', bi'jikiwûck' (Ojibwa)	Used as a tonic [Ojibwa: 47] or as a general medicine [Ojibwa: 86]. 
Polygalaceae, Herb		Roots: Powdered and added to other plants and used to treat many ailments [Cree: 95]. Chewed and the juice swallowed to treat a sore throat. Crushed and mixed with another plant to make a poultice applied to cuts [Cree: 13]. Mixed with other plants and used as a heart medicine and blood purifier [Metis: 13]. Roots crushed or chewed to treat toothache or sore mouth [Cree: 13, 95]. Dried and chewed for cold [Malecite: 65]. Decoction for cough and cold [Ojibwa: 84]. Mixed with Artemisia frigida, Astragalus crassicarpus, and Rosa arkansana in a decoction taken internally for convulsions or applied to wounds to stop bleeding [Ojibwa: 47]. Sucked and juice swallowed to treat tooth ache, sore throat, cough and cold. Poultice used to treat skin disorders, bee stings, cuts and burns [Cree: 96].
		Leaves: Infusion taken for sore throat [Ojibwa: 84].
Polygonatum biflorum (Walter) Elliot	giant Solomon's seal (Eng.); sceau-de-Salomon géant (Fr.); nanîbîte'ode'kîn (Ojibwa)	Roots: Used as a physic. Tea used for cough [Ojibwa: 87].
Liliaceae, Herb		
Polygonatum biflorum (Walter) Elliot var. commutatum (Schult. & Schult. f.) Morong	giant Solomon's seal (Eng.); sceau-de-Salomon géant (Fr.); nebnegodek (Ojibwa)	Roots: Used to prevent measles [Ojibwa: 85]. Decoction sprinkled on hot stones and the smoke inhaled to treat hadache [Ojibwa: 47]. 
Syn.: P. commutatum (Schult. & Schult. f.) A. Dietr.		
Liliaceae, Herb		
Polygonatum pubescens (Willd.) Pursh.	hairy Solomon's seal (Eng.); sceau-de-Salomon pubescent (Fr.); onkôk'skak (Abenaki)	Used to stop bleeding from mouth in women [Abenaki: 67].
Liliaceae, Herb		
Polygonum amphibium L.	water smartweed, amphibious knot-weed (Eng.); renouée amphibie (Fr.); kāmithkwacōāhtik, kistōtīwīcīpihk (Cree)	Roots: Applied fresh on mouth blisters. Powdered with other plants to treat various ailments [Cree: 95]. 
Polygonaceae, Herb		
*Polygonum hydropiper	marshpepper knotweed, water pepper (Eng.); renouée poivre-d'eau (Fr.)	Leaves: Dried and used to make a tea for dropsy [Malecite: 65]. 
L.		
Polygonaceae, Herb		
Polygonum muhlenbergii (Meisn.) Wats.	long-root smartweed, swamp persicaria (Eng.); renouée émergée (Fr.); agongo'simînûn (Ojibwa)	Tea used to cure stomachache [Ojibwa: 87].
Polygonaceae, Herb		
Polygonum pensylvanicum L.	Pennsylvania smartweed (Eng.); renouée de Pennsylvanie (Fr.); pebigumskike (Ojibwa)	Tops steeped and the infusion taken as a cure for epilepsy [Ojibwa: 85].
Polygonaceae, Herb		
*Polygonum persicaria L.	lady's thumb (Eng.); renouée persicaire (Fr.)	Flowers and leaves: Decoction taken in stomach pain [Ojibwa: 47]. 
Polygonaceae, Herb		
Polygonum punctatum Elliot	interrupted smartweed (Eng.); renouée ponctuée (Fr.); ojig'imĭn (Ojibwa)	Flowers and leaves: Decoction taken in stomach pain [Ojibwa: 47].
Polygonaceae, Herb		
Polypodium virginianum L.	rock polypod, parasitic sword fern (Eng.); polypode de Virginie, tripe de roche (Fr.); tcetcgwi'zek' (Malecite); kākākīwīkoc, kāthīthīkipakākī, kinīpikōtīthanīwīpak (Cree); otatakwakanak (Atikamekw); Achiniu thistabi (Innu)	Used for stomach troubles [Abenaki: 67], or against kidney and neuralgic diseases [Atikamekw: 73]. Tea used to treat digestive tract problems [Algonquin: 68], heart diseases [Algonquin: 69], as well as lung, liver and kidney diseases [Innu: 72].
Syn.: P. vulgare auct. non L. p.p.		Roots: Steeped and given in pleurisy [Malecite: 65]. 
Polypodiaceae, Herb		Leaves: Decoction taken as a tuberculosis cure [Cree: 95]. 
Polyporus resinosus (Schrad.) Fr.	fungi (Eng.); polypore (Fr.)	Conks boiled and used as a cough medicine [Dene: 98].
Polyporaceae, Fungi		
Polyporus sp.	polypore (Fr.)	Used for "female troubles" [Algonquians: 63].
Polyporaceae, Fungi		
Polystichum acrostichoides (Michx.) Schott	christmas fern (Eng.); polystic faux-acrostic (Fr.) ktciutcetckuk (Malecite)	Roots: Chewed in hoarseness [Malecite: 65]. 
Dryopteridaceae, Herb		Fronds: Soaked in cold water and pounded to treat body pain [Algonquians: 63].
Pontederia cordata L.	pickerel weed, lake herb (Eng.); pontédérie cordée (Fr.); waladawi'ga (Malecite)	Brewed and taken in general illnesses [Algonquians: 63]. Steeped and used to prevent pregnancy [Malecite: 65].
Pontederiaceae, Herb		
*Populus alba L.	white poplar (Eng.); peuplier blanc (Fr.); ah-sah-te (Ojibwa)	Bark and roots: Tea used for internal blood diseases [Ojibwa: 86].
Salicaceae, Tree		
Populus balsamifera L.	balsam poplar, black poplar (Eng.); peuplier baumier, peuplier noir, liard (Fr.); ma-saté, mah-nah-sah-te (Chippewa); metos, mayi metos, mayi-mītos, maymiytos, māthamītos, osīmisk (Cree); ewebibu'k (Malecite); man'asa'dĭ, asa'di (Ojibwa); t'oo, t'ooladzé (Dene)	Used for internal blood diseases [Ojibwa: 86]. 
Salicaceae, Tree		Buds: Gathered unopened in early spring and boiled to extract the balsam, skimmed off and then boiled with bear fat to make a salve applied to frost-bitten members and on sores and inflamed wounds [Chippewa: 85]. Gathered in the spring and steeped in very hot bathwater until a layer of extract forms on the surface and the water is cool enough to bathe in, and also rubbed on afflicted areas to treat skin diseases such as eczema or psoriasis [Cree, Metis: 13]. Collected in the spring to make a tea taken for cold [Dene: 99]. Rubbed on the gums of a teething baby, or a cooled infusion used to rinse the baby's mouth [Dene: 13]. Rubbed on a sore tooth [Cree: 13]. Decoction drunk to treat heart problems [Cree: 13]. Boiled for 41 minutes with trembling aspen branch bark and the decoction given to treat diabetes [Cree: 13]. Gathered in the spring to make salve [Algonquin: 69]. Applied directly to the nostril to stop nosebleed [Cree: 95]. Smashed with roots of Arctium lappa and applied to sores [Malecite: 65]. Seeped before opening and used as a poultice in sprain or strained muscles, or boiled in grease, strained and kept for use when needed [Ojibwa: 47]. Cooked in lard or bear fat, cooled and used as a salve on cuts, wounds or bruises, also rubbed inside nostrils to clear congestion from cold, catarrh or bronchitis [Ojibwa: 87]. Steam used to treat nasal and chest congestion caused by cold [Dene: 100].
		Sap: Drunk to treat diabetes and high blood pressure [Cree, Metis: 13]. Used on cuts [Dene: 99]. Boiled and tea drunk to ease chest pain Smeared on a painful body part [Dene: 101].
		Bark and sap: Used to make a tea for asthma in children [Cree, Metis: 13].
		Bark: Mixed with another plant in a decoction given in seizures [Cree: 13]. 
		Leaves: Applied fresh to a sore [Cree: 95]. Chewed and applied to insect stings and bites [Dene: 100].
		Roots: Scrapings steeped in hot water and used as a poultice on open sores and infected wounds [Algonquin: 69]. Decoction made with equal portion of roots of Cirsium sp. taken internally to treat weakness and back pain in women. Mixed with roots of Populus tremuloides, steeped and given to slow heavy menstrual flow [Ojibwa: 47]. 
		Inner bark: Used in diabetes [Cree: 77]. Boiled and taken to treat stomach problems [Dene: 98].
		Catkins: Boiled and rubbed on swollen areas. Tea drunk for breathing problems [Dene: 101].
		Rotten wood: Powdered and used for skin rash [Dene: 101].
